shot,   los,  standoff, magnification, filtering
95519,  tim2, 4.18,     15,            15Ta[]|250Al|
95519,  tim4, 4.18,     15,            15Ta[]|250Al|
95519,  tim5, 4.18,     15,            15Ta[]|250Al|
95520,  tim2, 4.18,     15,            15Ta[]|250Al|
95520,  tim4, 4.18,     15,            15Ta[]|250Al|
95520,  tim5, 4.18,     15,            15Ta[]|250Al|
95521,  tim2, 4.18,     15,            15Ta[]|250Al|
95521,  tim4, 4.18,     15,            15Ta[]|250Al|
95521,  tim5, 4.18,     15,            15Ta[]|250Al|
95522,  tim2, 4.18,     15,            15Ta[]|250Al|
95522,  tim4, 4.18,     15,            15Ta[]|250Al|
95522,  tim5, 4.18,     15,            15Ta[]|250Al|
95523,  tim2, 4.18,     15,            15Ta[]|250Al|
95523,  tim4, 4.18,     15,            15Ta[]|250Al|
95523,  tim5, 4.18,     15,            15Ta[]|250Al|
95524,  tim2, 4.18,     15,            15Ta[]|250Al|
95524,  tim4, 4.18,     15,            15Ta[]|250Al|
95524,  tim5, 4.18,     15,            15Ta[]|250Al|
104779, tim2, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104779, tim4, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104779, tim5, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104779, srte, 10.95248, 19.51,         762Be 25kapton 127Al/254Al/610Al/1270Al |
104780, tim2, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104780, tim4, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104780, tim5, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104780, srte, 10.95248, 19.51,         762Be 25kapton 127Al/254Al/610Al/1270Al |
104781, tim2, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104781, tim4, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104781, tim5, 2.93,     21,            15Ta/100Al[]200Al|202Al|
104781, srte, 10.95248, 19.51,         762Be 25kapton 127Al/254Al/610Al/1270Al |
104782, tim2, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104782, tim4, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104782, tim5, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104782, srte, 10.95248, 19.51,         762Be 25kapton 200Al 127Al/254Al/610Al/1270Al |
104783, tim2, 2.93,     21,            15Ta/50Al[]200Al|200Al|
104783, tim4, 2.93,     21,            15Ta/50Al[]200Al|100Al|
104783, tim5, 2.93,     21,            15Ta/100Al[]200Al|200Al|
104783, srte, 10.95248, 19.51,         762Be 25kapton 200Al 127Al/254Al/610Al/1270Al |
105321, tim6, 4.18,     14.85,         15Ta [] 150Al [] 500Al | 200Al | 200Al |
105634, srte, 10.95248, 19.51,         762Be 25kapton 127Al/254Al/610Al/1270Al |
107129, tim0, 4.21,     13,            15Ta[]
