0.000 0.000 0.000
0.002 0.002 0.002
0.007 0.008 0.007
0.014 0.016 0.015
0.024 0.027 0.025
0.035 0.041 0.037
0.047 0.055 0.050
0.059 0.068 0.063
0.070 0.081 0.075
0.081 0.094 0.087
0.092 0.107 0.099
0.102 0.119 0.110
0.112 0.131 0.121
0.121 0.143 0.132
0.130 0.154 0.142
0.139 0.166 0.153
0.148 0.177 0.163
0.157 0.188 0.173
0.165 0.199 0.183
0.173 0.210 0.192
0.181 0.220 0.202
0.189 0.231 0.211
0.197 0.242 0.220
0.204 0.252 0.230
0.212 0.262 0.239
0.219 0.272 0.248
0.226 0.283 0.257
0.233 0.293 0.265
0.240 0.303 0.274
0.247 0.312 0.283
0.254 0.322 0.291
0.260 0.332 0.300
0.267 0.342 0.308
0.273 0.351 0.316
0.279 0.361 0.325
0.286 0.371 0.333
0.292 0.380 0.341
0.298 0.389 0.349
0.303 0.399 0.357
0.309 0.408 0.365
0.315 0.417 0.373
0.321 0.427 0.381
0.326 0.436 0.388
0.332 0.445 0.396
0.337 0.454 0.404
0.342 0.463 0.411
0.348 0.472 0.419
0.353 0.481 0.427
0.358 0.490 0.434
0.363 0.499 0.442
0.368 0.508 0.449
0.373 0.517 0.456
0.378 0.526 0.464
0.382 0.535 0.471
0.387 0.543 0.478
0.392 0.552 0.485
0.396 0.561 0.493
0.401 0.570 0.500
0.405 0.578 0.507
0.410 0.587 0.514
0.414 0.596 0.521
0.418 0.604 0.528
0.423 0.613 0.535
0.427 0.621 0.542
0.431 0.630 0.549
0.435 0.638 0.556
0.439 0.647 0.563
0.443 0.655 0.569
0.446 0.664 0.576
0.450 0.672 0.583
0.454 0.681 0.590
0.458 0.689 0.596
0.461 0.697 0.603
0.465 0.706 0.610
0.468 0.714 0.616
0.472 0.722 0.623
0.475 0.731 0.630
0.479 0.739 0.636
0.482 0.747 0.643
0.485 0.755 0.649
0.488 0.764 0.656
0.492 0.772 0.662
0.495 0.780 0.669
0.498 0.788 0.675
0.501 0.796 0.681
0.504 0.804 0.688
0.507 0.813 0.694
0.509 0.821 0.700
0.512 0.829 0.707
0.515 0.837 0.713
0.518 0.845 0.719
0.520 0.853 0.726
0.523 0.861 0.732
0.525 0.869 0.738
0.528 0.877 0.744
0.530 0.885 0.750
0.533 0.893 0.757
0.535 0.901 0.763
0.537 0.909 0.769
0.540 0.917 0.775
0.542 0.925 0.781
