0.000 0.000 0.000
0.002 0.002 0.002
0.007 0.006 0.005
0.014 0.012 0.010
0.025 0.019 0.017
0.037 0.029 0.025
0.051 0.039 0.033
0.065 0.051 0.043
0.078 0.062 0.053
0.091 0.072 0.062
0.103 0.082 0.071
0.116 0.092 0.079
0.128 0.102 0.088
0.140 0.111 0.096
0.152 0.120 0.103
0.163 0.129 0.111
0.175 0.138 0.118
0.186 0.147 0.126
0.198 0.156 0.133
0.209 0.164 0.139
0.220 0.172 0.146
0.231 0.180 0.153
0.242 0.189 0.159
0.253 0.196 0.165
0.264 0.204 0.172
0.274 0.212 0.178
0.285 0.220 0.184
0.295 0.227 0.189
0.306 0.235 0.195
0.316 0.242 0.201
0.327 0.249 0.206
0.337 0.257 0.212
0.347 0.264 0.217
0.358 0.271 0.223
0.368 0.278 0.228
0.378 0.285 0.233
0.388 0.292 0.238
0.398 0.299 0.243
0.408 0.306 0.248
0.418 0.312 0.253
0.428 0.319 0.258
0.438 0.326 0.262
0.448 0.332 0.267
0.458 0.339 0.272
0.468 0.345 0.276
0.477 0.352 0.281
0.487 0.358 0.285
0.497 0.364 0.289
0.507 0.371 0.294
0.516 0.377 0.298
0.526 0.383 0.302
0.535 0.389 0.306
0.545 0.395 0.310
0.555 0.402 0.314
0.564 0.408 0.319
0.574 0.414 0.322
0.583 0.420 0.326
0.593 0.426 0.330
0.602 0.431 0.334
0.612 0.437 0.338
0.621 0.443 0.342
0.630 0.449 0.345
0.640 0.455 0.349
0.649 0.461 0.353
0.658 0.466 0.356
0.668 0.472 0.360
0.677 0.478 0.363
0.686 0.483 0.367
0.696 0.489 0.370
0.705 0.494 0.374
0.714 0.500 0.377
0.723 0.505 0.380
0.732 0.511 0.384
0.742 0.516 0.387
0.751 0.522 0.390
0.760 0.527 0.393
0.769 0.533 0.397
0.778 0.538 0.400
0.787 0.543 0.403
0.796 0.549 0.406
0.806 0.554 0.409
0.815 0.559 0.412
0.824 0.564 0.415
0.833 0.570 0.418
0.842 0.575 0.421
0.851 0.580 0.424
0.860 0.585 0.427
0.869 0.590 0.429
0.878 0.595 0.432
0.887 0.601 0.435
0.896 0.606 0.438
0.905 0.611 0.441
0.914 0.616 0.443
0.923 0.621 0.446
0.931 0.626 0.449
0.940 0.631 0.451
0.949 0.636 0.454
0.958 0.640 0.456
0.967 0.645 0.459
0.976 0.650 0.461
0.985 0.655 0.464
