0.000 0.000 0.000
0.002 0.002 0.002
0.007 0.008 0.007
0.015 0.016 0.014
0.025 0.027 0.022
0.037 0.040 0.033
0.050 0.054 0.045
0.063 0.068 0.056
0.075 0.081 0.067
0.086 0.093 0.078
0.098 0.106 0.088
0.109 0.118 0.098
0.119 0.130 0.108
0.130 0.141 0.117
0.140 0.153 0.126
0.150 0.164 0.135
0.160 0.175 0.143
0.169 0.186 0.152
0.179 0.196 0.160
0.188 0.207 0.168
0.197 0.218 0.176
0.206 0.228 0.184
0.215 0.238 0.191
0.223 0.248 0.199
0.232 0.259 0.206
0.240 0.269 0.214
0.249 0.278 0.221
0.257 0.288 0.228
0.265 0.298 0.235
0.273 0.308 0.241
0.281 0.317 0.248
0.289 0.327 0.255
0.297 0.336 0.261
0.305 0.346 0.268
0.312 0.355 0.274
0.320 0.364 0.280
0.327 0.374 0.287
0.335 0.383 0.293
0.342 0.392 0.299
0.349 0.401 0.305
0.357 0.410 0.311
0.364 0.419 0.316
0.371 0.428 0.322
0.378 0.437 0.328
0.385 0.446 0.334
0.392 0.454 0.339
0.399 0.463 0.345
0.406 0.472 0.350
0.413 0.481 0.356
0.419 0.489 0.361
0.426 0.498 0.366
0.433 0.506 0.371
0.439 0.515 0.377
0.446 0.524 0.382
0.452 0.532 0.387
0.459 0.541 0.392
0.465 0.549 0.397
0.472 0.557 0.402
0.478 0.566 0.407
0.484 0.574 0.411
0.491 0.582 0.416
0.497 0.591 0.421
0.503 0.599 0.426
0.509 0.607 0.430
0.515 0.615 0.435
0.521 0.624 0.440
0.527 0.632 0.444
0.534 0.640 0.449
0.539 0.648 0.453
0.545 0.656 0.458
0.551 0.664 0.462
0.557 0.672 0.466
0.563 0.680 0.471
0.569 0.688 0.475
0.575 0.696 0.479
0.580 0.704 0.483
0.586 0.712 0.488
0.592 0.720 0.492
0.598 0.728 0.496
0.603 0.736 0.500
0.609 0.744 0.504
0.614 0.751 0.508
0.620 0.759 0.512
0.626 0.767 0.516
0.631 0.775 0.520
0.637 0.783 0.524
0.642 0.790 0.527
0.647 0.798 0.531
0.653 0.806 0.535
0.658 0.814 0.539
0.664 0.821 0.543
0.669 0.829 0.546
0.674 0.837 0.550
0.680 0.844 0.554
0.685 0.852 0.557
0.690 0.860 0.561
0.695 0.867 0.564
0.700 0.875 0.568
0.706 0.882 0.571
0.711 0.890 0.575
0.716 0.897 0.578
