0.000 0.000 0.000
0.002 0.002 0.002
0.007 0.008 0.008
0.014 0.016 0.016
0.023 0.027 0.028
0.034 0.040 0.042
0.046 0.055 0.056
0.057 0.068 0.070
0.068 0.081 0.084
0.079 0.094 0.097
0.089 0.107 0.110
0.098 0.119 0.122
0.108 0.131 0.135
0.117 0.143 0.147
0.125 0.154 0.159
0.134 0.166 0.171
0.142 0.177 0.183
0.150 0.188 0.194
0.158 0.199 0.206
0.166 0.210 0.217
0.173 0.220 0.228
0.180 0.231 0.239
0.187 0.241 0.250
0.194 0.252 0.261
0.201 0.262 0.272
0.208 0.272 0.283
0.214 0.282 0.294
0.220 0.292 0.304
0.227 0.302 0.315
0.233 0.312 0.325
0.239 0.322 0.336
0.244 0.332 0.346
0.250 0.342 0.356
0.255 0.351 0.367
0.261 0.361 0.377
0.266 0.370 0.387
0.271 0.380 0.397
0.276 0.389 0.407
0.281 0.399 0.417
0.286 0.408 0.428
0.291 0.417 0.438
0.296 0.427 0.447
0.300 0.436 0.457
0.305 0.445 0.467
0.309 0.454 0.477
0.313 0.463 0.487
0.317 0.472 0.497
0.321 0.481 0.507
0.325 0.490 0.516
0.329 0.499 0.526
0.333 0.508 0.536
0.337 0.517 0.545
0.340 0.526 0.555
0.344 0.535 0.565
0.347 0.544 0.574
0.351 0.552 0.584
0.354 0.561 0.593
0.357 0.570 0.603
0.360 0.579 0.612
0.363 0.587 0.622
0.366 0.596 0.631
0.369 0.605 0.641
0.371 0.613 0.650
0.374 0.622 0.660
0.376 0.630 0.669
0.379 0.639 0.678
0.381 0.647 0.688
0.383 0.656 0.697
0.386 0.664 0.707
0.388 0.673 0.716
0.390 0.681 0.725
0.391 0.690 0.735
0.393 0.698 0.744
0.395 0.706 0.753
0.397 0.715 0.762
0.398 0.723 0.772
0.400 0.731 0.781
0.401 0.740 0.790
0.402 0.748 0.799
0.403 0.756 0.809
0.405 0.765 0.818
0.405 0.773 0.827
0.406 0.781 0.836
0.407 0.789 0.845
0.408 0.797 0.854
0.408 0.806 0.864
0.409 0.814 0.873
0.409 0.822 0.882
0.410 0.830 0.891
0.410 0.838 0.900
0.410 0.846 0.909
0.410 0.854 0.918
0.410 0.862 0.927
0.410 0.871 0.936
0.409 0.879 0.945
0.409 0.887 0.955
0.408 0.895 0.964
0.407 0.903 0.973
0.407 0.911 0.982
0.406 0.919 0.991
0.405 0.927 1.000
