0.000 0.000 0.000
0.002 0.002 0.001
0.007 0.006 0.005
0.014 0.012 0.009
0.024 0.020 0.015
0.036 0.030 0.021
0.049 0.041 0.028
0.062 0.052 0.036
0.075 0.064 0.044
0.087 0.075 0.052
0.100 0.085 0.060
0.111 0.095 0.067
0.123 0.105 0.074
0.135 0.115 0.080
0.146 0.125 0.086
0.157 0.134 0.092
0.168 0.143 0.098
0.179 0.152 0.104
0.190 0.161 0.109
0.201 0.170 0.114
0.211 0.179 0.119
0.222 0.187 0.124
0.232 0.196 0.129
0.243 0.204 0.134
0.253 0.212 0.138
0.263 0.221 0.142
0.273 0.229 0.147
0.283 0.237 0.151
0.293 0.244 0.155
0.303 0.252 0.158
0.313 0.260 0.162
0.323 0.268 0.166
0.332 0.275 0.169
0.342 0.283 0.173
0.352 0.290 0.176
0.361 0.298 0.179
0.371 0.305 0.182
0.380 0.312 0.185
0.390 0.320 0.188
0.399 0.327 0.191
0.409 0.334 0.194
0.418 0.341 0.196
0.427 0.348 0.199
0.437 0.355 0.202
0.446 0.362 0.204
0.455 0.369 0.206
0.464 0.376 0.209
0.473 0.383 0.211
0.483 0.389 0.213
0.492 0.396 0.215
0.501 0.403 0.217
0.510 0.410 0.219
0.519 0.416 0.221
0.528 0.423 0.223
0.537 0.429 0.225
0.546 0.436 0.226
0.555 0.442 0.228
0.563 0.449 0.229
0.572 0.455 0.231
0.581 0.461 0.232
0.590 0.468 0.234
0.599 0.474 0.235
0.608 0.480 0.236
0.616 0.487 0.238
0.625 0.493 0.239
0.634 0.499 0.240
0.642 0.505 0.241
0.651 0.511 0.242
0.660 0.518 0.243
0.668 0.524 0.244
0.677 0.530 0.244
0.686 0.536 0.245
0.694 0.542 0.246
0.703 0.548 0.247
0.711 0.554 0.247
0.720 0.560 0.248
0.728 0.566 0.248
0.737 0.571 0.249
0.745 0.577 0.249
0.754 0.583 0.249
0.762 0.589 0.250
0.771 0.595 0.250
0.779 0.601 0.250
0.788 0.606 0.250
0.796 0.612 0.250
0.805 0.618 0.250
0.813 0.624 0.250
0.821 0.629 0.250
0.830 0.635 0.250
0.838 0.640 0.250
0.846 0.646 0.250
0.855 0.652 0.249
0.863 0.657 0.249
0.871 0.663 0.248
0.880 0.668 0.248
0.888 0.674 0.247
0.896 0.679 0.247
0.904 0.685 0.246
0.913 0.690 0.246
0.921 0.696 0.245
0.929 0.701 0.244
