0.000 0.000 0.000
0.002 0.002 0.002
0.008 0.007 0.007
0.016 0.013 0.015
0.027 0.022 0.025
0.040 0.033 0.038
0.055 0.045 0.052
0.069 0.057 0.065
0.082 0.069 0.078
0.095 0.080 0.091
0.108 0.091 0.103
0.121 0.101 0.115
0.133 0.112 0.127
0.145 0.122 0.138
0.157 0.132 0.150
0.169 0.141 0.161
0.180 0.151 0.172
0.192 0.160 0.183
0.203 0.169 0.194
0.214 0.178 0.205
0.225 0.187 0.216
0.237 0.195 0.226
0.247 0.204 0.237
0.258 0.212 0.247
0.269 0.221 0.257
0.280 0.229 0.268
0.290 0.237 0.278
0.301 0.245 0.288
0.311 0.253 0.298
0.322 0.261 0.308
0.332 0.268 0.318
0.343 0.276 0.328
0.353 0.284 0.337
0.363 0.291 0.347
0.373 0.299 0.357
0.383 0.306 0.367
0.393 0.313 0.376
0.403 0.321 0.386
0.413 0.328 0.395
0.423 0.335 0.405
0.433 0.342 0.414
0.443 0.349 0.424
0.453 0.356 0.433
0.463 0.363 0.442
0.472 0.370 0.452
0.482 0.376 0.461
0.492 0.383 0.470
0.501 0.390 0.479
0.511 0.396 0.489
0.521 0.403 0.498
0.530 0.410 0.507
0.540 0.416 0.516
0.549 0.423 0.525
0.559 0.429 0.534
0.568 0.435 0.543
0.578 0.442 0.552
0.587 0.448 0.561
0.596 0.454 0.570
0.606 0.460 0.579
0.615 0.467 0.588
0.624 0.473 0.597
0.634 0.479 0.606
0.643 0.485 0.615
0.652 0.491 0.624
0.662 0.497 0.632
0.671 0.503 0.641
0.680 0.509 0.650
0.689 0.515 0.659
0.698 0.520 0.668
0.707 0.526 0.676
0.717 0.532 0.685
0.726 0.538 0.694
0.735 0.544 0.702
0.744 0.549 0.711
0.753 0.555 0.720
0.762 0.561 0.728
0.771 0.566 0.737
0.780 0.572 0.746
0.789 0.577 0.754
0.798 0.583 0.763
0.807 0.588 0.772
0.816 0.594 0.780
0.825 0.599 0.789
0.834 0.605 0.797
0.843 0.610 0.806
0.852 0.615 0.814
0.861 0.621 0.823
0.870 0.626 0.831
0.879 0.631 0.840
0.888 0.637 0.848
0.897 0.642 0.857
0.905 0.647 0.865
0.914 0.652 0.874
0.923 0.657 0.882
0.932 0.663 0.891
0.941 0.668 0.899
0.950 0.673 0.908
0.958 0.678 0.916
0.967 0.683 0.925
0.976 0.688 0.933
0.985 0.693 0.941
