0.000 0.000 0.000
0.002 0.002 0.002
0.006 0.006 0.007
0.012 0.013 0.014
0.021 0.022 0.024
0.031 0.032 0.036
0.042 0.045 0.050
0.054 0.057 0.063
0.065 0.069 0.076
0.075 0.080 0.089
0.086 0.091 0.101
0.096 0.102 0.113
0.106 0.113 0.125
0.115 0.123 0.137
0.124 0.133 0.149
0.133 0.143 0.160
0.142 0.153 0.171
0.151 0.163 0.183
0.160 0.173 0.194
0.168 0.182 0.205
0.176 0.192 0.216
0.185 0.201 0.227
0.193 0.210 0.237
0.200 0.219 0.248
0.208 0.228 0.259
0.216 0.237 0.269
0.224 0.246 0.280
0.231 0.254 0.290
0.238 0.263 0.301
0.246 0.272 0.311
0.253 0.280 0.322
0.260 0.289 0.332
0.267 0.297 0.342
0.274 0.305 0.352
0.281 0.314 0.362
0.288 0.322 0.373
0.295 0.330 0.383
0.301 0.338 0.393
0.308 0.346 0.403
0.314 0.354 0.413
0.321 0.362 0.423
0.327 0.370 0.433
0.334 0.378 0.443
0.340 0.386 0.453
0.346 0.393 0.462
0.352 0.401 0.472
0.359 0.409 0.482
0.365 0.417 0.492
0.371 0.424 0.502
0.377 0.432 0.512
0.383 0.439 0.521
0.389 0.447 0.531
0.394 0.454 0.541
0.400 0.462 0.550
0.406 0.469 0.560
0.412 0.477 0.570
0.417 0.484 0.580
0.423 0.491 0.589
0.429 0.499 0.599
0.434 0.506 0.608
0.440 0.513 0.618
0.445 0.520 0.628
0.450 0.528 0.637
0.456 0.535 0.647
0.461 0.542 0.656
0.467 0.549 0.666
0.472 0.556 0.676
0.477 0.563 0.685
0.482 0.570 0.695
0.487 0.577 0.704
0.493 0.584 0.714
0.498 0.591 0.723
0.503 0.598 0.733
0.508 0.605 0.742
0.513 0.612 0.752
0.518 0.619 0.761
0.523 0.626 0.771
0.527 0.633 0.780
0.532 0.640 0.790
0.537 0.647 0.799
0.542 0.653 0.809
0.547 0.660 0.818
0.552 0.667 0.827
0.556 0.674 0.837
0.561 0.680 0.846
0.566 0.687 0.856
0.570 0.694 0.865
0.575 0.700 0.875
0.579 0.707 0.884
0.584 0.714 0.894
0.588 0.720 0.903
0.593 0.727 0.912
0.597 0.734 0.922
0.602 0.740 0.931
0.606 0.747 0.941
0.611 0.753 0.950
0.615 0.760 0.959
0.619 0.766 0.969
0.624 0.773 0.978
0.628 0.779 0.988
0.632 0.786 0.997
