0.000 0.000 0.000
0.002 0.002 0.002
0.005 0.006 0.006
0.011 0.013 0.013
0.017 0.022 0.021
0.025 0.032 0.032
0.034 0.045 0.045
0.044 0.057 0.057
0.054 0.069 0.069
0.063 0.081 0.081
0.071 0.093 0.093
0.080 0.104 0.104
0.088 0.115 0.115
0.095 0.126 0.126
0.103 0.136 0.136
0.110 0.147 0.147
0.117 0.157 0.157
0.123 0.167 0.168
0.130 0.177 0.178
0.136 0.187 0.188
0.142 0.197 0.198
0.148 0.207 0.208
0.154 0.217 0.217
0.159 0.226 0.227
0.165 0.236 0.236
0.170 0.245 0.246
0.175 0.255 0.255
0.180 0.264 0.265
0.184 0.273 0.274
0.189 0.282 0.283
0.194 0.291 0.293
0.198 0.300 0.302
0.202 0.309 0.311
0.206 0.318 0.320
0.210 0.327 0.329
0.214 0.336 0.338
0.218 0.345 0.347
0.221 0.354 0.356
0.225 0.362 0.364
0.228 0.371 0.373
0.231 0.380 0.382
0.234 0.388 0.391
0.237 0.397 0.399
0.240 0.405 0.408
0.243 0.414 0.417
0.245 0.422 0.425
0.248 0.431 0.434
0.250 0.439 0.442
0.252 0.447 0.451
0.254 0.456 0.459
0.256 0.464 0.468
0.258 0.472 0.476
0.260 0.481 0.484
0.262 0.489 0.493
0.263 0.497 0.501
0.265 0.505 0.509
0.266 0.513 0.518
0.267 0.522 0.526
0.268 0.530 0.534
0.269 0.538 0.543
0.270 0.546 0.551
0.270 0.554 0.559
0.271 0.562 0.567
0.271 0.570 0.575
0.271 0.578 0.584
0.272 0.586 0.592
0.272 0.594 0.600
0.271 0.602 0.608
0.271 0.610 0.616
0.271 0.618 0.624
0.270 0.625 0.632
0.269 0.633 0.640
0.268 0.641 0.648
0.267 0.649 0.656
0.266 0.657 0.664
0.264 0.665 0.672
0.263 0.672 0.680
0.261 0.680 0.688
0.259 0.688 0.696
0.256 0.696 0.704
0.254 0.703 0.712
0.251 0.711 0.720
0.248 0.719 0.728
0.245 0.727 0.736
0.242 0.734 0.744
0.238 0.742 0.751
0.234 0.750 0.759
0.230 0.757 0.767
0.225 0.765 0.775
0.220 0.772 0.783
0.215 0.780 0.791
0.209 0.788 0.799
0.202 0.795 0.806
0.196 0.803 0.814
0.188 0.810 0.822
0.180 0.818 0.830
0.171 0.826 0.837
0.161 0.833 0.845
0.150 0.841 0.853
0.138 0.848 0.861
0.124 0.856 0.869
